vsi_path	slide_id	is_overview	file_size_bytes	num_scenes	scene_idx	scene_name	width_px	height_px	mpp_x_um	mpp_y_um	magnification	compression	num_channels	num_z_slices	num_t_frames	error
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764084HE1_Overview.vsi	10764084HE1_Overview	1	1432096		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765443HE1.vsi	10765443HE1	0	765277	1	0	40x	27860	30588	0.17066	0.170666	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765443HE1_Overview.vsi	10765443HE1_Overview	1	1435592		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765444HE1.vsi	10765444HE1	0	654757	1	0	40x	27249	26640	0.170664	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765444HE1_Overview.vsi	10765444HE1_Overview	1	1430700		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765445HE1.vsi	10765445HE1	0	489179	1	0	40x	22406	20596	0.170661	0.170662	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765445HE1_Overview.vsi	10765445HE1_Overview	1	1434186		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765450HE1.vsi	10765450HE1	0	654051	1	0	40x	32092	23018	0.170665	0.170661	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765450HE1_Overview.vsi	10765450HE1_Overview	1	1433248		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765451HE1.vsi	10765451HE1	0	297139	1	0	40x	38136	26050	0.170665	0.170663	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10765451HE1_Overview.vsi	10765451HE1_Overview	1	1430894		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10767623HE1.vsi	10767623HE1	0	420449	1	0	40x	29650	12435	0.170665	0.170661	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10767623HE1_Overview.vsi	10767623HE1_Overview	1	1431448		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10767627HE1.vsi	10767627HE1	0	551839	1	0	40x	25133	24544	0.170661	0.170663	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10767627HE1_Overview.vsi	10767627HE1_Overview	1	1432966		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10772107HE1.vsi	10772107HE1	0	552777	1	0	40x	21185	27251	0.17066	0.170662	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10772107HE1_Overview.vsi	10772107HE1_Overview	1	1433970		-1											no scenes
